Empresa,Região/Pais,Link,Presente_na_Super_Store
7-Eleven,JapanUnited States,https://en.wikipedia.org/wiki/7-Eleven,Não
Aeon,Japan,https://en.wikipedia.org/wiki/AEON_(company),Sim
Ahold Delhaize,Netherlands,https://en.wikipedia.org/wiki/Ahold_Delhaize,Sim
Aldi Nord,Germany,https://en.wikipedia.org/wiki/Aldi_Nord,Sim
Aldi Süd,Germany,https://en.wikipedia.org/wiki/Aldi_S%C3%BCd,Sim
Aldi,Germany (Süd and Nord),https://en.wikipedia.org/wiki/Aldi,Não
Edeka,Germany,https://en.wikipedia.org/wiki/Edeka,Sim
Extra,Germany,https://en.wikipedia.org/wiki/Extra_(supermarket),Sim
Tengelmann Group,Germany,https://en.wikipedia.org/wiki/Tengelmann_Group,Sim
Minimal,Germany,https://en.wikipedia.org/wiki/Minimal_(supermarket),Sim
Auchan,France,https://en.wikipedia.org/wiki/Auchan,Sim
Big C,Thailand,https://en.wikipedia.org/wiki/Big_C,Sim
Billa,Austria,https://en.wikipedia.org/wiki/Billa_(supermarket),Sim
BİM,Turkey,https://en.wikipedia.org/wiki/Bim_(company),Sim
Carrefour,France,https://en.wikipedia.org/wiki/Carrefour,Sim
Champion,France,https://en.wikipedia.org/wiki/Champion_(supermarket),Sim
Casino,France,https://en.wikipedia.org/wiki/Groupe_Casino,Sim
CBA,Hungary,https://en.wikipedia.org/wiki/CBA_(food_retail),Sim
Cencosud,Chile,https://en.wikipedia.org/wiki/Cencosud,Sim
Chedraui,Mexico,https://en.wikipedia.org/wiki/Chedraui,Sim
Conad,Italy,https://en.wikipedia.org/wiki/Conad,Sim
Co-op Atlantic,Atlantic Canada,https://en.wikipedia.org/wiki/Co-op_Atlantic,Não
Coop amba,Denmark,https://en.wikipedia.org/wiki/Coop_amba,Sim
Coop Hungary,Hungary,https://en.wikipedia.org/wiki/Coop_(Hungary),Sim
Coop Italia,Italy,https://en.wikipedia.org/wiki/Coop_(Italy),Sim
Coop Nederlands,Netherlands,https://en.wikipedia.org/wiki/Coop_(Netherlands),Sim
Coop Norge,Norway,https://en.wikipedia.org/wiki/Coop_Norge,Sim
Coop (Puerto Rico),Puerto Rico,https://en.wikipedia.org/wiki/COOP_(Puerto_Rico),Não
Coop (Sweden),Sweden,https://en.wikipedia.org/wiki/Coop_(Sweden),Sim
Co-op Food,United Kingdom,https://en.wikipedia.org/wiki/Co-op_Food,Sim
Coop,Switzerland,https://en.wikipedia.org/wiki/Coop_(Switzerland),Sim
Cora,France,https://en.wikipedia.org/wiki/Cora_(hypermarket),Sim
Costco,United States,https://en.wikipedia.org/wiki/Costco,Sim
Crai,Italy,https://en.wikipedia.org/wiki/Crai_(supermarket),Sim
Denner,Switzerland,https://en.wikipedia.org/wiki/Denner_(supermarkets),Sim
Dunnes,Ireland,https://en.wikipedia.org/wiki/Dunnes_Stores,Sim
Leclerc,France,https://en.wikipedia.org/wiki/E.Leclerc,Sim
Géant Casino,France,https://en.wikipedia.org/wiki/G%C3%A9ant_Casino,Sim
Dominick's,United States,https://en.wikipedia.org/wiki/Dominick%27s,Sim
e-mart,South Korea,https://en.wikipedia.org/wiki/E-mart,Sim
Eataly,Italy,https://en.wikipedia.org/wiki/Eataly,Sim
EuroSpin,Italy,https://en.wikipedia.org/wiki/EuroSpin,Sim
Famila,Germany,https://en.wikipedia.orghttps://de.wikipedia.org/wiki/Famila,Sim
FamilyMart,Japan,https://en.wikipedia.org/wiki/FamilyMart,Sim
Four Square supermarkets,New Zealand,https://en.wikipedia.org/wiki/Four_Square_supermarkets,Sim
H-E-B,United States,https://en.wikipedia.org/wiki/H-E-B,Sim
Intermarché,France,https://en.wikipedia.org/wiki/Intermarch%C3%A9,Sim
Isetan,Japan,https://en.wikipedia.org/wiki/Isetan,Sim
Ito-Yokado,Japan,https://en.wikipedia.org/wiki/Ito-Yokado,Sim
Jeronimo Martins,Portugal,https://en.wikipedia.org/wiki/Jeronimo_Martins,Sim
JUSCO,Japan,https://en.wikipedia.org/wiki/JUSCO,Sim
Kaufland,Germany,https://en.wikipedia.org/wiki/Kaufland,Sim
Kesko,Finland,https://en.wikipedia.org/wiki/Kesko,Sim
Konzum,Croatia,https://en.wikipedia.org/wiki/Konzum,Sim
Lidl,Germany,https://en.wikipedia.org/wiki/Lidl,Sim
Lotte Mart,South Korea,https://en.wikipedia.org/wiki/Lotte_Mart,Sim
Lulu Hypermarket,United Arab Emirates,https://en.wikipedia.org/wiki/Lulu_Hypermarket,Sim
Makro (SHV Holdings),,https://en.wikipedia.org/wiki/Makro,Não
Makro (CP All),Thailand,https://en.wikipedia.org/wiki/Makro,Sim
Maxima Group,Lithuania,https://en.wikipedia.org/wiki/Maxima_Group,Sim
Maxvalu Tokai,Japan,https://en.wikipedia.org/wiki/Maxvalu_Tokai,Sim
Meny,Norway,https://en.wikipedia.org/wiki/Meny,Sim
Mercator,Slovenia,https://en.wikipedia.org/wiki/Mercator_(retail),Sim
Mercator-S,Serbia,https://en.wikipedia.org/wiki/Mercator_Serbia,Não
Metro,Germany,https://en.wikipedia.org/wiki/Metro_Cash_and_Carry,Sim
Migros,Switzerland,https://en.wikipedia.org/wiki/Migros,Sim
Migros Türk,Turkey,https://en.wikipedia.org/wiki/Migros_T%C3%BCrk,Sim
MPreis,Austria,https://en.wikipedia.orghttps://de.wikipedia.org/wiki/MPreis,Sim
Netto,Denmark,https://en.wikipedia.org/wiki/Netto_(store),Sim
Netto UK,United Kingdom,https://en.wikipedia.org/wiki/Netto_UK,Sim
Netto (Les Mousquetaires),France,https://en.wikipedia.org/wiki/Netto_(Les_Mousquetaires),Sim
Netto Marken-Discount,Germany,https://en.wikipedia.org/wiki/Netto_Marken-Discount,Sim
Northern,Canada,https://en.wikipedia.org/wiki/The_North_West_Company,Sim
PARKnSHOP,Hong Kong,https://en.wikipedia.org/wiki/ParknShop,Sim
Parkson,Malaysia,https://en.wikipedia.org/wiki/Parkson,Sim
Penny,Germany,https://en.wikipedia.org/wiki/Penny_(supermarket),Sim
Prisma,Finland,https://en.wikipedia.org/wiki/S_Group#Supermarkets,Sim
REMA 1000,Norway,https://en.wikipedia.org/wiki/REMA_1000,Sim
Rimi Baltic,Latvia,https://en.wikipedia.org/wiki/Rimi_Baltic,Não
Selex,Italy,https://en.wikipedia.orghttps://it.wikipedia.org/wiki/Selex,Sim
Selgros,Germany,https://en.wikipedia.org/wiki/Selgros,Sim
SISA,Italy,https://en.wikipedia.orghttps://it.wikipedia.org/wiki/SISA_(azienda),Sim
SPAR,Netherlands,https://en.wikipedia.org/wiki/Spar_(retailer),Sim
Stockmann,Finland,https://en.wikipedia.org/wiki/Stockmann,Sim
SuperValu,Canada,https://en.wikipedia.org/wiki/SuperValu_(Canada),Sim
SuperValu,Ireland,https://en.wikipedia.org/wiki/SuperValu_(Ireland),Sim
SuperValu,United States,https://en.wikipedia.org/wiki/SuperValu_(United_States),Sim
SuperValue,New Zealand,https://en.wikipedia.org/wiki/SuperValue,Sim
Tesco,United Kingdom,https://en.wikipedia.org/wiki/Tesco,Sim
